"","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","X32","X33"
"17","butter","tomato","pepper","wheat","onion","vinegar","cayenne","parmesan_cheese","scallion","garlic","oregano","white_wine","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","cheese","pepper","beef","onion","avocado","corn","cayenne","lettuce","bell_pepper","vegetable_oil","lime","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","cane_molasses","vinegar","onion","black_pepper","avocado","garlic","cream_cheese","tamarind","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","tomato","olive_oil","green_bell_pepper","onion","chicken_broth","black_pepper","bay","bell_pepper","chicken","rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","olive_oil","pepper","lemon","onion","tabasco_pepper","orange_juice","lime_juice","cilantro","cumin","black_pepper","garlic","oregano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","tomato","onion","black_bean","black_pepper","corn","cayenne","garlic","bell_pepper","oregano","macaroni","pork_sausage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","tomato","green_bell_pepper","onion","corn","cayenne","cumin","bell_pepper","kidney_bean","chicken","chicken_broth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","tomato","olive_oil","cilantro","onion","corn","cayenne","pepper","garlic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","tomato","mushroom","onion","corn","cayenne","garlic","chicken","cheddar_cheese","milk","chicken_broth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","tomato","beef","onion","cayenne","corn","black_pepper","cumin","lettuce","garlic","bell_pepper","oregano","cheddar_cheese","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","olive_oil","wheat","beef","black_pepper","cayenne","cumin","garlic","oregano","beef_broth","roasted_beef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","tomato","wheat","starch","lime_juice","tequila","black_pepper","avocado","honey","garlic","vegetable_oil","chicken","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","olive_oil","black_pepper","garlic","oregano","olive","cream","tomato","vinegar","beef","onion","cayenne","cumin","scallion","buttermilk","macaroni","bell_pepper","vegetable_oil","cheddar_cheese","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","cheese","pepper","meat","cayenne","lime_juice","scallion","yogurt","vegetable_oil","bread","lime_peel_oil","egg","mustard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","cheese","wheat","egg","cheddar_cheese","cayenne","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","tequila","lemon_juice","lime_juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","butter","tomato","onion","bacon","corn","cayenne","bean","garlic","lard","vegetable_oil","cheddar_cheese","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","wheat","cayenne","fish","black_pepper","honey","garlic","oregano","cabbage","bread","vinegar","cilantro","onion","lime_juice","cumin","vegetable_oil","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","tomato","pork","onion","black_pepper","cayenne","cumin","garlic","bell_pepper","oregano","vegetable_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","tomato","almond","black_pepper","cocoa","seed","garlic","chicken","white_bread","butter","onion","chicken_broth","anise","cayenne","bay","cinnamon","sesame_seed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","vinegar","onion","black_pepper","cayenne","cumin","garlic","scallion","cucumber","oregano","vegetable_oil","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","tomato","vinegar","cane_molasses","onion","beef","lima_bean","corn","pepper","bean","mustard","garlic","tamarind","celery_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","tomato","olive_oil","cilantro","wheat","chicken_broth","cayenne","cumin","garlic","cream_cheese","pepper","egg","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","onion","beef","corn","cayenne","cheddar_cheese","egg","milk","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","vinegar","onion","black_pepper","cayenne","cumin","garlic","bell_pepper","vegetable_oil","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","tomato","green_bell_pepper","onion","cayenne","black_pepper","carrot","garlic","kidney_bean","whole_grain_wheat_flour","bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","butter","tomato","onion","starch","cayenne","garlic","cheddar_cheese","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","tomato","cheese","onion","black_pepper","cayenne","cumin","garlic","oregano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","tomato","onion","corn","cayenne","cumin","milk","garlic","vegetable_oil","chicken","cheddar_cheese","chicken_broth","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","turkey","tomato","cane_molasses","wheat","onion","vinegar","cayenne","scallion","lettuce","garlic","olive","tamarind","cheddar_cheese","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","tomato","green_bell_pepper","beef","onion","black_pepper","corn","cayenne","cumin","lettuce","macaroni","bell_pepper","oregano","garlic","cheddar_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","butter","cheese","wheat","onion","parsley","shrimp","garlic","crab","milk","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","olive_oil","beef","onion","vinegar","corn","black_pepper","bell_pepper","mozzarella_cheese","cheddar_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","tomato","cheese","onion","beef","corn","lettuce","kidney_bean","cheddar_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","tomato","cilantro","onion","black_bean","lime_juice","cayenne","cumin","pepper","corn_grit","bean","olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","tomato","wheat","onion","lime_juice","cayenne","scallion","garlic","cream_cheese","cheddar_cheese","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","tomato","cilantro","wheat","onion","cayenne","garlic","chicken","cheddar_cheese","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","tomato","cheese","wheat","beef","onion","cayenne","cumin","garlic","vegetable_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","tomato","pepper","green_bell_pepper","onion","beef","cayenne","bean","cheddar_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","tomato","cheese","onion","buttermilk","corn","cayenne","lettuce","garlic","olive","vegetable_oil","chicken","cheddar_cheese","egg","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","tomato","pepper","green_bell_pepper","beef","onion","celery","basil","rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","tomato","green_bell_pepper","onion","cayenne","black_pepper","cumin","smoked_sausage","garlic","bell_pepper","oregano","rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","tomato","cheese","garlic","beef","mushroom","cayenne","onion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","tomato","vegetable_oil","chicken_broth","macaroni","onion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","tomato","cheese","lemon_juice","onion","olive_oil","black_bean","corn","cayenne","cumin","scallion","celery","garlic","bell_pepper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","cayenne","corn","lime_juice","ginger","scallion","mango","bell_pepper","mint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","tomato","vinegar","beef","onion","black_pepper","corn","cayenne","cumin","lettuce","bean","garlic","bell_pepper","oregano","cheddar_cheese","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","tomato","olive_oil","cilantro","onion","beef","cayenne","scallion","garlic","oregano","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","tequila","lemon_juice","orange","vegetable_oil","vanilla","lime_juice","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","tomato","cheddar_cheese","cayenne","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","tomato","cane_molasses","pepper","onion","beef","vinegar","celery","tamarind","rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","pork","wheat","onion","cayenne","cilantro","cumin","garlic","oregano","cheddar_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","butter","cocoa","wheat","vegetable_oil","vanilla","egg","banana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","tomato","vinegar","pork","lemon_juice","mustard","onion","starch","cayenne","cumin","garlic","bell_pepper","oregano","pepper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","tomato","olive_oil","tarragon","vinegar","cayenne","scallion","garlic","olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","butter","tomato","onion","black_pepper","cayenne","melon","garlic","catfish","orange","lime_juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","tomato","cheese","bean","corn","cayenne","scallion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","kidney_bean","corn_grit","lima_bean","black_pepper","bean","garlic","oregano","cream","tomato","beef","onion","cayenne","cumin","buttermilk","bell_pepper","vegetable_oil","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","tomato","cilantro","onion","black_pepper","cayenne","parsley","cumin","cocoa","cinnamon","oregano","vegetable_oil","chicken","bay","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","chicken","rice","lime_juice","cilantro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","lime_juice","fish","black_pepper","garlic","oregano","cabbage","whole_grain_wheat_flour","vinegar","cilantro","onion","black_bean","cayenne","cumin","mango","vegetable_oil","rice","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","butter","tomato","cheddar_cheese","wheat","onion","chicken_broth","cayenne","scallion","garlic","olive","chicken","rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","tomato","olive_oil","pepper","onion","cheese","corn","cayenne","cilantro","cumin","seed","garlic","oregano","macaroni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","tomato","cilantro","garlic","onion","lime_juice","avocado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","butter","wheat","rum","vanilla","pineapple","cayenne","ginger","milk","lard","egg","banana","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","peanut_oil","coriander","pepper","wheat","yeast","cayenne","corn","garlic","pimento","olive","pork_sausage","tomato","onion","black_bean","lime_juice","cumin","scallion","bell_pepper","cheddar_cheese","cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","lime_juice","cucumber","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","cilantro","onion","lime_juice","mint","pear","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","cilantro","onion","roasted_pork","chicken_broth","cayenne","lettuce","seed","garlic","radish","corn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","peanut_oil","pork","grape","starch","black_pepper","soy_sauce","cayenne","pepper","scallion","garlic","bell_pepper","chicken_broth","oyster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","coriander","olive_oil","cilantro","onion","black_bean","cayenne","cumin","seed","garlic","vegetable","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","tomato","pork","onion","black_pepper","corn","avocado","cilantro","garlic","oregano","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","tomato","olive_oil","pepper","beef","onion","cheese","cayenne","corn","lime_juice","garlic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","butter","wheat","yeast","corn","cocoa","milk_fat","gelatin","cream_cheese","egg","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","tomato","olive_oil","cilantro","cayenne","onion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","lamb","olive_oil","cilantro","smoke","onion","black_pepper","cayenne","cumin","seed","pecan","oregano","garlic","anise_seed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","tomato","cilantro","onion","cayenne","corn","black_pepper","seed","garlic","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","olive_oil","pepper","onion","beef","vegetable_oil","cayenne","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","tomato","pork","beef","onion","black_pepper","cayenne","milk_fat","garlic","oregano","vegetable_oil","rice","mint","milk","egg","bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","tomato","raisin","corn","almond","black_pepper","cumin","cocoa","seed","garlic","oregano","anise_seed","bread","turkey","thyme","roasted_peanut","pecan","chicken_broth","cayenne","onion","sesame_seed","lard","vegetable_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","tomato","cilantro","onion","corn","cayenne","carrot","garlic","rice","pea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","cheese","onion","vinegar","radish","corn","potato","cayenne","lettuce","carrot","garlic","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","tomato","olive_oil","cilantro","wheat","corn","cayenne","garlic","lard","chicken","chicken_broth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","pepper","onion","cayenne","black_pepper","cilantro","parsley","lettuce","seed","garlic","sesame_seed","lard","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","cheese","bean","garlic","onion","lard","corn","scallion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","vegetable_oil","rice","garlic","parsley","onion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","tomato","olive_oil","cilantro","onion","black_bean","corn","cayenne","cumin","scallion","garlic","bell_pepper","egg","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","tomato","olive_oil","vinegar","corn","black_pepper","sherry","vegetable_oil","watercress","cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","tomato","cheese","pepper","wheat","vegetable_oil","corn","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","tomato","olive_oil","green_bell_pepper","onion","cheese","corn","starch","cayenne","parsley","garlic","bell_pepper","olive","turmeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","tomato","olive_oil","cilantro","onion","cheese","chicken_broth","cayenne","garlic","corn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","tomato","olive_oil","coconut","green_bell_pepper","onion","cilantro","shrimp","garlic","pepper","cassava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","butter","coconut","wheat","onion","yeast","lime_juice","cayenne","cilantro","oregano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","pepper","onion","cilantro","shrimp","vegetable_oil","bread","egg","pea","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","butter","tomato","cilantro","onion","corn","cayenne","scallion","garlic","bell_pepper","zucchini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","tomato","olive_oil","coconut","green_bell_pepper","onion","fish","lime_juice","cilantro","scallion","garlic","bell_pepper","shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","olive_oil","pepper","mushroom","cheese","corn","cayenne","scallion","garlic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","butter","cheese","cilantro","wheat","onion","corn","cayenne","pepper","milk","milk_fat","garlic","egg","shiitake","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","butter","wheat","meat","bacon","scallion","lard","cheddar_cheese","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","peanut_oil","coriander","pepper","wheat","yeast","cayenne","corn","garlic","pimento","olive","pork_sausage","tomato","onion","black_bean","lime_juice","cumin","scallion","bell_pepper","cheddar_cheese","cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","cocoa","vanilla","egg","milk","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","olive_oil","pork","wheat","cayenne","corn","almond","lime_juice","garlic","tomato","cream","butter","onion","raisin","cumin","cinnamon","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","tomato","cilantro","onion","lime_juice","cayenne","avocado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","butter","tomato","pepper","onion","mushroom","olive_oil","cayenne","garlic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
